2Theta	Intensidade
71,73987707	99
71,77926792	106
71,81865876	133
71,85804961	114
71,89744046	133
71,9368313	104
71,97622215	126
72,015613	143
72,05500384	115
72,09439469	130
72,13378554	123
72,17317638	109
72,21256723	121
72,25195808	109
72,29134892	144
72,33073977	150
72,37013062	139
72,40952146	131
72,44891231	136
72,48830316	131
72,527694	168
72,56708485	103
72,6064757	130
72,64586654	127
72,68525739	123
72,72464824	148
72,76403908	126
72,80342993	115
72,84282078	133
72,88221162	123
72,92160247	137
72,96099332	131
73,00038416	152
73,03977501	140
73,07916586	158
73,1185567	146
73,15794755	190
73,1973384	178
73,23672924	200
73,27612009	168
73,31551094	157
73,35490178	153
73,39429263	162
73,43368348	148
73,47307432	125
73,51246517	136
73,55185602	151
73,59124686	140
73,63063771	122
73,67002856	134
73,7094194	133
73,74881025	137
73,7882011	143
73,82759194	132
73,86698279	138
73,90637364	121
73,94576448	142
73,98515533	141
74,02454618	124
74,06393702	154
74,10332787	161
74,14271872	147
74,18210956	146
74,22150041	125
74,26089126	113
74,3002821	168
74,33967295	140
74,3790638	138
74,41845464	136
74,45784549	134
74,49723634	113
74,53662718	153
74,57601803	130
74,61540888	136
74,65479972	146
74,69419057	144
74,73358142	170
74,77297226	191
74,81236311	164
74,85175396	188
74,8911448	200
74,93053565	184
74,9699265	209
75,00931734	245
75,04870819	288
75,08809904	447
75,12748988	670
75,16688073	1154
75,20627158	1590
75,24566242	2271
75,28505327	2897
75,32444412	3122
75,36383496	3259
75,40322581	3313
75,44261666	3127
75,4820075	2701
75,52139835	2117
75,5607892	1710
75,60018004	1606
75,63957089	1426
75,67896174	1219
75,71835258	737
75,75774343	391
75,79713428	256
75,83652512	228
75,87591597	191
75,91530682	188
75,95469766	150
75,99408851	135
76,03347936	151
76,0728702	164
76,11226105	142
76,1516519	163
76,19104274	160
76,23043359	142
76,26982444	149
76,30921528	166
76,34860613	125
76,38799698	126
76,42738782	125
76,46677867	148
76,50616952	115
76,54556036	136
76,58495121	128
76,62434206	142
76,6637329	131
76,70312375	112
76,7425146	126
76,78190544	147
76,82129629	122
76,86068714	105
76,90007798	122
76,93946883	134
76,97885968	136
77,01825052	119
77,05764137	125
77,09703222	115
77,13642306	119
77,17581391	122
77,21520476	148
77,2545956	124
77,29398645	100
77,3333773	122
77,37276814	102
77,41215899	105
77,45154984	123
77,49094068	146
77,53033153	121
77,56972238	105
77,60911322	115
77,64850407	110
77,68789492	120
77,72728576	116
77,76667661	117
77,80606746	86
77,8454583	104
77,88484915	121
77,92424	83
77,96363084	130
78,00302169	119
78,04241254	95
78,08180338	132
78,12119423	106
78,16058508	111
78,19997592	90
78,23936677	106
78,27875762	90
78,31814846	105
78,35753931	90
78,39693016	111
78,436321	106
78,47571185	110
78,5151027	114
78,55449354	115
78,59388439	97
78,63327524	104
78,67266608	99
78,71205693	104
78,75144778	108
78,79083862	114
78,83022947	105
78,86962032	100
78,90901116	104
78,94840201	104
78,98779286	111
79,0271837	139
79,06657455	107
79,1059654	112
79,14535624	114
79,18474709	111
79,22413794	104
79,26352878	102
79,30291963	116
79,34231048	99
79,38170132	99
79,42109217	98
79,46048302	98
79,49987386	103
79,53926471	88
79,57865555	88
79,6180464	98
79,65743725	111
79,69682809	106
79,73621894	133
79,77560979	118
79,81500063	110
79,85439148	87
79,89378233	79
79,93317317	89
79,97256402	106
80,01195487	120
80,05134571	98
80,09073656	96
80,13012741	101
80,16951825	98
80,2089091	114
80,24829995	93
80,28769079	99
80,32708164	108
80,36647249	93
80,40586333	106
80,44525418	108
80,48464503	91
80,52403587	99
80,56342672	109
80,60281757	99
80,64220841	123
80,68159926	107
80,72099011	102
80,76038095	101
80,7997718	91
80,83916265	90
80,87855349	98
80,91794434	116
80,95733519	94
80,99672603	94
81,03611688	96
81,07550773	102
81,11489857	91
81,15428942	111
81,19368027	102
81,23307111	110
81,27246196	104
81,31185281	105
81,35124365	115
81,3906345	101
81,43002535	105
81,46941619	84
81,50880704	90
81,54819789	117
81,58758873	116
81,62697958	109
81,66637043	96
81,70576127	90
81,74515212	102
81,78454297	98
81,82393381	86
81,86332466	91
81,90271551	116
81,94210635	99
81,9814972	105
82,02088805	96
82,06027889	88
82,09966974	95
82,13906059	104
82,17845143	97
82,21784228	95
82,25723313	110
82,29662397	104
82,33601482	94
82,37540567	90
82,41479651	82
82,45418736	94
82,49357821	88
82,53296905	103
82,5723599	101
82,61175075	80
82,65114159	91
82,69053244	111
82,72992329	101
82,76931413	119
82,80870498	100
82,84809583	119
82,88748667	106
82,92687752	101
82,96626837	114
83,00565921	106
83,04505006	86
83,08444091	112
83,12383175	96
83,1632226	113
83,20261345	118
83,24200429	106
83,28139514	99
83,32078599	115
83,36017683	113
83,39956768	102
83,43895853	114
83,47834937	110
83,51774022	109
83,55713107	119
83,59652191	139
83,63591276	109
83,67530361	155
83,71469445	165
83,7540853	182
83,79347615	223
83,83286699	352
83,87225784	603
83,91164869	759
83,95103953	838
83,99043038	837
84,02982123	896
84,06921207	932
84,10860292	908
84,14799377	949
84,18738461	780
84,22677546	602
84,26616631	501
84,30555715	508
84,344948	482
84,38433885	449
84,42372969	307
84,46312054	244
84,50251139	154
84,54190223	133
84,58129308	150
84,62068393	111
84,66007477	101
84,69946562	93
84,73885647	97
84,77824731	110
84,81763816	102
84,85702901	106
84,89641985	97
84,9358107	88
84,97520155	87
85,01459239	83
85,05398324	84
85,09337409	89
85,13276493	99
85,17215578	106
85,21154663	98
85,25093747	111
85,29032832	88
85,32971917	85
85,36911001	97
85,40850086	98
85,44789171	87
85,48728255	97
85,5266734	92
85,56606425	75
85,60545509	97
85,64484594	83
85,68423679	97
85,72362763	102
85,76301848	106
85,80240933	96
85,84180017	88
85,88119102	79
85,92058187	92
85,95997271	100
85,99936356	97
86,03875441	82
86,07814525	79
86,1175361	106
86,15692695	73
86,19631779	101
86,23570864	87
86,27509949	93
86,31449033	90
86,35388118	88
86,39327203	85
86,43266287	93
86,47205372	88
86,51144457	117
86,55083541	94
86,59022626	79
86,62961711	86
86,66900795	90
86,7083988	83
86,74778965	86
86,78718049	107
86,82657134	91
86,86596219	81
86,90535303	89
86,94474388	71
86,98413473	85
87,02352557	75
87,06291642	99
87,10230727	78
87,14169811	86
87,18108896	90
87,22047981	76
87,25987065	81
87,2992615	94
87,33865234	94
87,37804319	94
87,41743404	87
87,45682488	86
87,49621573	74
87,53560658	81
87,57499742	94
87,61438827	76
87,65377912	75
87,69316996	99
87,73256081	81
87,77195166	108
87,8113425	94
87,85073335	80
87,8901242	90
87,92951504	81
87,96890589	95
88,00829674	69
88,04768758	86
88,08707843	83
88,12646928	100
88,16586012	94
88,20525097	74
88,24464182	109
88,28403266	87
88,32342351	71
88,36281436	88
88,4022052	93
88,44159605	76
88,4809869	85
88,52037774	81
