index;Load(kN);Defor(mm);Stroke(mm);Time(s)
325;2.72;1.6075;1.607;19.495
326;2.74;1.6125;1.612;19.555
327;2.74;1.6175;1.617;19.615
328;2.74;1.6225;1.622;19.675
329;2.76;1.6275;1.627;19.735
330;2.76;1.6325;1.632;19.795
331;2.78;1.6375;1.637;19.855
332;2.78;1.6425;1.642;19.915
333;2.78;1.6475;1.647;19.975
334;2.8;1.6525;1.652;20.035
335;2.8;1.6575;1.657;20.095
336;2.8;1.6625;1.662;20.155
337;2.82;1.6675;1.668;20.215
338;2.82;1.6725;1.673;20.275
339;2.84;1.6775;1.678;20.335
340;2.84;1.6825;1.683;20.395
341;2.84;1.6875;1.688;20.455
342;2.86;1.6925;1.692;20.515
343;2.86;1.6975;1.697;20.575
344;2.86;1.7025;1.702;20.635
345;2.88;1.7075;1.707;20.695
346;2.88;1.7125;1.712;20.755
347;2.9;1.7175;1.717;20.815
348;2.9;1.7225;1.722;20.875
349;2.92;1.7275;1.727;20.935
350;2.92;1.7325;1.732;20.995
351;2.92;1.7375;1.737;21.055
352;2.94;1.7425;1.742;21.115
353;2.94;1.7475;1.747;21.175
354;2.96;1.7525;1.752;21.235
355;2.96;1.7575;1.757;21.295
356;2.98;1.7625;1.762;21.355
357;2.98;1.7675;1.767;21.415
358;3;1.7725;1.772;21.475
359;3;1.7775;1.777;21.535
360;3.02;1.7825;1.782;21.595
361;3.04;1.7875;1.787;21.655
362;3.04;1.7925;1.793;21.715
363;3.06;1.7975;1.798;21.775
364;3.06;1.8025;1.803;21.835
365;3.08;1.8075;1.808;21.895
366;3.08;1.8125;1.812;21.955
367;3.1;1.8175;1.817;22.015
368;3.12;1.8225;1.822;22.075
369;3.12;1.8275;1.827;22.135
370;3.14;1.8338;1.834;22.195
371;3.14;1.8388;1.839;22.255
372;3.16;1.8438;1.844;22.315
373;3.16;1.8487;1.849;22.375
374;3.18;1.8537;1.854;22.435
375;3.2;1.8587;1.859;22.495
376;3.22;1.8637;1.864;22.555
377;3.22;1.8687;1.869;22.615
378;3.24;1.8737;1.874;22.675
379;3.24;1.8787;1.879;22.735
380;3.26;1.8837;1.884;22.795
381;3.28;1.8887;1.889;22.855
382;3.28;1.8937;1.894;22.915
383;3.3;1.8987;1.899;22.975
384;3.32;1.9037;1.904;23.035
385;3.32;1.9087;1.909;23.095
386;3.34;1.9137;1.914;23.155
387;3.36;1.9187;1.919;23.215
388;3.36;1.9237;1.924;23.275
389;3.38;1.9287;1.929;23.335
390;3.4;1.9337;1.934;23.395
391;3.42;1.9387;1.939;23.455
392;3.42;1.9437;1.944;23.515
393;3.44;1.9487;1.949;23.575
394;3.46;1.9538;1.954;23.635
395;3.46;1.9588;1.959;23.695
396;3.48;1.9638;1.964;23.755
397;3.5;1.9688;1.969;23.815
398;3.5;1.9737;1.974;23.875
399;3.52;1.9787;1.979;23.935
400;3.54;1.9837;1.984;23.995
401;3.56;1.9887;1.989;24.055
402;3.56;1.9937;1.994;24.115
403;3.58;1.9987;1.999;24.175
404;3.6;2.0037;2.004;24.235
405;3.62;2.0087;2.009;24.295
406;3.62;2.0137;2.014;24.355
407;3.64;2.0187;2.019;24.415
408;3.66;2.0238;2.024;24.475
