0
Diameter:	   7.90
   1.00
Area:	  49.0167
GaugeLength:	  50.00
2009-1-1
ACO REVENIDO
GRUPO3 ACO REVENIDO
DataNumber:	2647
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  230	  5.0600	  0.5240	   1.135	  13.795
  231	  5.1000	  0.5240	   1.140	  13.855
  232	  5.1600	  0.5260	   1.145	  13.915
  233	  5.2000	  0.5260	   1.150	  13.975
  234	  5.2600	  0.5260	   1.155	  14.035
  235	  5.3000	  0.5260	   1.160	  14.095
  236	  5.3400	  0.5260	   1.165	  14.155
  237	  5.4000	  0.5260	   1.170	  14.215
  238	  5.4400	  0.5260	   1.175	  14.275
  239	  5.5000	  0.5260	   1.180	  14.335
  240	  5.5400	  0.5260	   1.185	  14.395
  241	  5.5800	  0.5280	   1.190	  14.455
  242	  5.6400	  0.5280	   1.195	  14.515
  243	  5.6800	  0.5280	   1.200	  14.575
  244	  5.7400	  0.5280	   1.205	  14.635
  245	  5.7800	  0.5280	   1.210	  14.695
  246	  5.8400	  0.5280	   1.215	  14.755
  247	  5.8800	  0.5280	   1.220	  14.815
  248	  5.9400	  0.5280	   1.225	  14.875
  249	  5.9800	  0.5300	   1.230	  14.935
  250	  6.0200	  0.5300	   1.235	  14.995
  251	  6.0800	  0.5300	   1.240	  15.055
  252	  6.1200	  0.5300	   1.245	  15.115
  253	  6.1800	  0.5300	   1.250	  15.175
  254	  6.2200	  0.5300	   1.255	  15.235
  255	  6.2600	  0.5300	   1.260	  15.295
  256	  6.3200	  0.5300	   1.265	  15.355
  257	  6.3600	  0.5320	   1.270	  15.415
  258	  6.4200	  0.5320	   1.275	  15.475
  259	  6.4600	  0.5320	   1.280	  15.535
  260	  6.5200	  0.5320	   1.285	  15.595
  261	  6.5600	  0.5320	   1.290	  15.655
  262	  6.6200	  0.5320	   1.295	  15.715
  263	  6.6600	  0.5320	   1.300	  15.775
  264	  6.7000	  0.5340	   1.305	  15.835
  265	  6.7600	  0.5320	   1.310	  15.895
  266	  6.8200	  0.5340	   1.315	  15.955
  267	  6.8600	  0.5340	   1.320	  16.015
  268	  6.9000	  0.5340	   1.325	  16.075
  269	  6.9600	  0.5340	   1.330	  16.135
  270	  7.0000	  0.5340	   1.335	  16.195
  271	  7.0600	  0.5340	   1.340	  16.255
  272	  7.1000	  0.5340	   1.345	  16.315
  273	  7.1600	  0.5340	   1.350	  16.375
  274	  7.2000	  0.5360	   1.355	  16.435
  275	  7.2400	  0.5360	   1.360	  16.495
  276	  7.3000	  0.5360	   1.365	  16.555
  277	  7.3400	  0.5360	   1.370	  16.615
  278	  7.4000	  0.5360	   1.375	  16.675
  279	  7.4400	  0.5360	   1.380	  16.735
  280	  7.5000	  0.5380	   1.385	  16.795
  281	  7.5400	  0.5380	   1.390	  16.855
  282	  7.6000	  0.5360	   1.395	  16.915
  283	  7.6400	  0.5380	   1.400	  16.975
  284	  7.7000	  0.5380	   1.405	  17.035
  285	  7.7400	  0.5380	   1.410	  17.095
  286	  7.8000	  0.5380	   1.415	  17.155
  287	  7.8400	  0.5380	   1.420	  17.215
  288	  7.8800	  0.5400	   1.425	  17.275
  289	  7.9400	  0.5400	   1.430	  17.335
  290	  7.9800	  0.5400	   1.435	  17.395
  291	  8.0400	  0.5400	   1.440	  17.455
  292	  8.0800	  0.5400	   1.445	  17.515
  293	  8.1400	  0.5400	   1.450	  17.575
  294	  8.1800	  0.5400	   1.455	  17.635
  295	  8.2400	  0.5400	   1.460	  17.695
  296	  8.2800	  0.5400	   1.465	  17.755
  297	  8.3400	  0.5420	   1.470	  17.815
  298	  8.3800	  0.5420	   1.475	  17.875
  299	  8.4400	  0.5420	   1.480	  17.935
  300	  8.4800	  0.5420	   1.485	  17.995
  301	  8.5400	  0.5420	   1.490	  18.055
  302	  8.5800	  0.5420	   1.495	  18.115
  303	  8.6400	  0.5440	   1.500	  18.175
  304	  8.7000	  0.5440	   1.505	  18.235
  305	  8.7400	  0.5440	   1.510	  18.295
  306	  8.8000	  0.5440	   1.515	  18.355
  307	  8.8400	  0.5440	   1.520	  18.415
  308	  8.9000	  0.5440	   1.525	  18.475
  309	  8.9400	  0.5440	   1.530	  18.535
  310	  9.0000	  0.5440	   1.535	  18.595
  311	  9.0400	  0.5440	   1.540	  18.655
  312	  9.1000	  0.5460	   1.545	  18.715
  313	  9.1400	  0.5460	   1.550	  18.775
  314	  9.2000	  0.5460	   1.555	  18.835
  315	  9.2400	  0.5460	   1.560	  18.895
  316	  9.3000	  0.5480	   1.565	  18.955
  317	  9.3400	  0.5460	   1.570	  19.015
  318	  9.4000	  0.5460	   1.575	  19.075
  319	  9.4400	  0.5480	   1.580	  19.135
  320	  9.5000	  0.5480	   1.585	  19.195
  321	  9.5400	  0.5480	   1.590	  19.255
  322	  9.6000	  0.5480	   1.595	  19.315
  323	  9.6400	  0.5480	   1.600	  19.375
  324	  9.7000	  0.5480	   1.605	  19.435
  325	  9.7600	  0.5480	   1.610	  19.495
  326	  9.8000	  0.5500	   1.615	  19.555
  327	  9.8600	  0.5500	   1.620	  19.615
  328	  9.9000	  0.5500	   1.625	  19.675
  329	  9.9600	  0.5500	   1.630	  19.735
  330	 10.0000	  0.5500	   1.635	  19.795
  331	 10.0400	  0.5500	   1.640	  19.855
